Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
example-t-shirt,Example T-Shirt,,Acme,Apparel & Accessories > Clothing,Shirts,mens t-shirt example,True,Title,"Lithograph - Height: 9"" x Width: 12""",,,,,,3629.0,,,deny,manual,25.0,,True,True,,https://burst.shopifycdn.com/photos/green-t-shirt.jpg?width=5000,1.0,,False,Our awesome T-shirt in 70 characters or less.,A great description of your products in 320 characters or less,Apparel & Accessories > Clothing,Unisex,Adult,7X8ABC910,T-shirts,"cotton, pre-shrunk",used,False,,,,,,,g,,,,,active
example-t-shirt,,,,,,,,,Small,,,,,example-shirt-s,200.0,,,deny,manual,19.99,24.99,True,True,,,,,,,,,,,,,,,,,,,,,,g,,,,,
example-t-shirt,,,,,,,,,Medium,,,,,example-shirt-m,200.0,shopify,,deny,manual,19.99,24.99,True,True,,,,,,,,,,,,,,,,,,,,,,g,,,,,
example-pants,Example Pants,,Acme,Apparel & Accessories > Clothing,Pants,mens pants example,False,Title,"Jeans, W32H34",,,,,,1250.0,,,deny,manual,49.99,57.99,True,True,,https://burst.shopifycdn.com/photos/distressed-kids-jeans.jpg?width=5000,1.0,,False,Our awesome Pants in 70 characters or less.,A great description of your products in 320 characters or less,Apparel & Accessories > Clothing,Unisex,Adult,7Y2ABD712,Pants,"cotton, pre-shrunk",used,False,,,,,,,g,,,,,draft
example-hat,Example Hat,,Acme,Apparel & Accessories > Clothing,Hat,mens hat example,False,Title,Grey,,,,,,275.0,,,deny,manual,17.99,22.99,True,True,,https://burst.shopifycdn.com/photos/kids-beanie.jpg?width=5000,1.0,,False,Our awesome Hat in 70 characters or less.,A great description of your products in 320 characters or less,Apparel & Accessories > Clothing,Unisex,Adult,5P1NBQ314,Hat,"cotton, pre-shrunk",used,False,,,,,,,g,,,,,archived
fruit-peeler,新款带盒收纳厨房专用水果削皮器削皮刀,,,,,,,Color,浅绿/橙色,,,,,GR-11,1640.0,,21.0,,,1.64,,TRUE,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
stylus-pen,源头厂家高精度触控笔,,,,,,,Color,玫瑰金/银色,,,,,ST-88,220.0,,16.0,,,3.7,,TRUE,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
lazy-mop,懒人自动夹布拖把,,,,,,,Size,标准/加长/特长,,,,,MO-33,770.0,,3.0,,,7.6,,TRUE,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
zipper-fixer,拉链修复器万能替换金属拉链配件,,,,,,,Size,大/中/小,,,,,ZF-96,380.0,,96.0,,,0.13,,TRUE,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
keyboard-stand,电脑手托架桌面延长版键盘托,,,,,,,None,None,,,,,KS-48,1250.0,,6.0,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
tape-measure,厂家大量批发钢卷尺,,,,,,,Size,5米/7.5米/10米,,,,,TM-5M,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
saw-blade,陶瓷合金冷切锯片手持无刷冷切锯,,,,,,,Size,110mm/140mm,,,,,SB-110,1290.0,,6.0,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
rebar-cutter,跨境手持冷切锯电动钢筋螺纹钢切割机,,,,,,,None,None,,,,,RC-2,16000.0,,2.0,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
